Brand,Name,City,Region,District,Rating,Review Count,Address,latitude,Longitude,PlaceID
Toyota,Abdul Latif Jameel Motors – Toyota|عبد اللطيف جميل للسيارات - تويوتا,Al Qatif,Eastern Province,Al-Qatif,3.6,1164,"Al Quds St, Warehouse Area, Al Qatif 32632, Saudi Arabia",26.542549,50.021521,ChIJ63fAqgsASj4RdN2hhQk6so8
Toyota,Abdul Latif Jameel Motors – Toyota|عبد اللطيف جميل للسيارات - تويوتا,Al Dammam,المنطقة الشرقية,الدمام,3.5,3698,"Al Dammam, شارع الملك سعود بن عبدالعزيز، Al Jalwih Dist, Al Dammam 32246, Saudi Arabia",26.440374,50.070661,ChIJA5Q700f8ST4ROwq5-QjqMKE
Toyota,Abdul Latif Jameel Motors – Toyota|عبد اللطيف جميل للسيارات - تويوتا,الخبر,المنطقة الشرقية,الخبر,3.4,3450,"Khobar,Olaya Distract, طريق الأمير فيصل بن فهد، العليا، الخبر 34447, Saudi Arabia",26.307574,50.17665,ChIJO9dovi7mST4R2fV2KUWBSD0
Toyota,Abdul Latif Jameel Motors – Toyota (Spare parts) | عبد اللطيف جميل للسيارات – تويوتا (قطع الغيار),Al Dammam,المنطقة الشرقية,الدمام,3.3,197,"Al Dammam, شارع الملك سعود بن عبدالعزيز، Al Jalwih Dist, Al Dammam 32246, Saudi Arabia",26.441156,50.07042,ChIJVRSmtxz9ST4RQwPEj-v8pdk
Toyota,Abdul Latif Jameel Motors – Toyota|عبد اللطيف جميل للسيارات - تويوتا,سيهات‎,المنطقة الشرقية,القطيف,3.7,303,"Amam Ali St ,Safwa, الصفاء، سيهات‎ 32833, Saudi Arabia",26.639838,49.963924,ChIJTR3RBmr-ST4RYhplnHqe-Ik
Toyota,Toyota Maintenance Reception Center,Al Khobar,Eastern Province,Al Khobar,3.8,495,"854G+XRM, Olaya, Al Khobar 34447, Saudi Arabia",26.30746,50.177058,ChIJgXnqvi7mST4R4vSgmooqiXE
Toyota,Abdul Latif Jameel Motors – Toyota|عبد اللطيف جميل للسيارات - تويوتا,Al Jubayl,Eastern Province,Jubail,3.5,1642,"Dist, Abu Ali Rd, Al-Waha, Al Jubayl 35514, Saudi Arabia",27.014013,49.639272,ChIJWWUCpZqgNT4RN0JU7f8HnWM
Toyota,Abdul Latif Jameel Motors – Toyota|عبد اللطيف جميل للسيارات - تويوتا,Al Hofuf,Eastern Province,Al Ahsa,3.6,878,"Riyadh Rd, Al Salmaniyah North, Al Hofuf 36421, Saudi Arabia",25.361511,49.55185,ChIJQ-K8MTmXNz4RqzvUEihToR8
Toyota,Abdul Latif Jameel Motors – Toyota|عبد اللطيف جميل للسيارات - تويوتا,الرياض,منطقة الرياض,امارة منطقة الرياض,3.4,3096,"Intersection of Olaya Street with Imam Muhammad bin Saud Street, شارع العليا، المروج، الرياض 12263, Saudi Arabia",24.746523,46.657117,ChIJoRkAvKTiLj4RxeDlRgHrKSY
Toyota,Abdul Latif Jameel Motors – Toyota|عبد اللطيف جميل للسيارات - تويوتا,Riyadh,Riyadh Province,Riyadh Principality,3.4,4005,"Khurais Road, AL Naseem, Riyadh 14232, Saudi Arabia",24.748476,46.818108,ChIJR_Ots5oALz4Rrkk30ZJzDOY
